Country Name,Angola,Angola,Angola,Botswana,Botswana,Botswana,Lesotho,Lesotho,Lesotho,Malawi,Malawi,Malawi,Mozambique,Mozambique,Mozambique,Namibia,Namibia,Namibia,South Africa,South Africa,South Africa,Zimbabwe,Zimbabwe,Zimbabwe,Zambia,Zambia,Zambia,Swaziland,Swaziland,Swaziland
Country Code,AGO,AGO,AGO,BWA,BWA,BWA,LSO,LSO,LSO,MWI,MWI,MWI,MOZ,MOZ,MOZ,NAM,NAM,NAM,ZAF,ZAF,ZAF,ZWE,ZWE,ZWE,ZMB,ZMB,ZMB,SWZ,SWZ,SWZ
Series Name,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total"
Series Code,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL
1976 [YR1976],54.541,25.37,7900997,45.362,10.496,857855,42.444,15.681,1179723,53.55,22.385,5454705,47.865,22.377,10632932,44.216,12.633,927503,36.527,11.34,26904349,47.719,11.756,6308300,48.858,15.188,5139030,48.8,14.9,550089
1977 [YR1977],54.563,25.074,8130988,45.207,10.094,891926,42.215,15.276,1210799,53.461,22.027,5627533,47.695,22.207,10936936,43.958,12.272,949193,36.233,11.23,27597297,47.6,11.441,6501893,48.58,15.053,5317631,48.6,14.5,567534
1978 [YR1978],54.502,24.804,8376147,44.99,9.712,927585,41.932,14.853,1243352,53.337,21.671,5806845,47.532,22.131,11248046,43.604,11.94,970258,35.927,11.115,28298150,47.381,11.101,6703182,48.269,14.969,5501445,48.5,14,585327
1979 [YR1979],54.363,24.563,8641521,44.684,9.353,964166,41.595,14.421,1276663,53.179,21.319,5986332,47.378,22.139,11554979,43.172,11.639,991226,35.606,10.988,29017049,47.046,10.745,6921790,47.935,14.941,5691749,48.3,13.5,603385
1980 [YR1980],54.173,24.349,8929900,44.243,9.019,1001158,41.199,13.993,1310118,52.999,20.979,6163080,47.221,22.204,11848331,42.685,11.362,1012672,35.258,10.835,29760471,46.575,10.382,7164172,47.592,14.977,5889230,48.1,13.1,621346
1981 [YR1981],53.966,24.164,9244507,43.619,8.706,1038397,40.741,13.584,1343690,52.816,20.661,6327569,47.042,22.29,12133074,42.172,11.099,1034264,34.872,10.646,30532954,45.949,10.023,7431940,47.251,15.085,6094206,47.9,12.6,639383
1982 [YR1982],53.779,24.001,9582156,42.802,8.414,1075889,40.226,13.2,1377346,52.64,20.372,6484452,46.83,22.357,12409243,41.655,10.836,1056366,34.436,10.418,31330259,45.183,9.685,7721536,46.923,15.262,6305709,47.7,12.1,658564
1983 [YR1983],53.633,23.855,9931562,41.805,8.147,1113539,39.664,12.844,1410439,52.468,20.114,6661358,46.582,22.371,12657708,41.154,10.564,1081081,33.944,10.157,32139708,44.299,9.388,8027565,46.616,15.5,6521542,47.4,11.6,680341
1984 [YR1984],53.533,23.719,10277321,40.656,7.912,1151292,39.066,12.519,1442212,52.288,19.885,6895928,46.31,22.318,12853780,40.68,10.284,1111132,33.393,9.87,32943584,43.324,9.151,8342195,46.337,15.79,6738765,47.1,11.1,705602
1985 [YR1985],53.466,23.591,10609042,39.404,7.712,1189114,38.445,12.205,1472192,52.061,19.677,7211105,46.042,22.195,12984405,40.241,9.996,1148302,32.781,9.565,33730148,42.29,8.99,8658857,46.091,16.124,6955212,46.7,10.7,734925
